"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
2;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
3;"J4";"SolderWire-1sqmm_1x06_P5.4mm_D1.4mm_OD2.7mm";1;"Conn_01x06_Pin";;;
4;"H2,H1,H3,H4";"MountingHole_3.2mm_M3_ISO14580_Pad";4;"MountingHole_Pad";;;
5;"J1";"Molex_CLIK-Mate_502386-0670_1x06-1MP_P1.25mm_Horizontal";1;"Conn_01x06_Pin";;;
6;"R2,R1";"R_0805_2012Metric";2;"R330";;;
7;"J3";"TENSILITY_54-00321";1;"54-00321";;;
8;"SW1";"GT11MSABE_CNK";1;"GT11MSABE";;;
